symbol,time,close,high,low,open,volume,bollingerbands,lowerband,middleband,standarddeviation,upperband,onbalancevolume,averagegain,averageloss,relativestrengthindex
NFLX SEWJWLJNHZDX,10/28/2010,25.495689,26.391402,25.079975,25.612832,9049556,25.495689,20.703879,23.739894,1.518008,26.77591,2.286807,0.541142,0.200571,72.958398
NFLX SEWJWLJNHZDX,10/29/2010,25.099975,25.599974,24.721404,25.571403,3614565,25.099975,20.928995,23.987182,1.529093,27.045368,2.250662,0.541142,0.215,71.56622
NFLX SEWJWLJNHZDX,10/30/2010,24.801404,25.114261,24.189976,24.991404,5749140,24.801404,21.137929,24.135222,1.498646,27.132515,2.19317,0.499714,0.244857,67.114351
NFLX SEWJWLJNHZDX,11/2/2010,23.909976,24.857118,23.671405,24.801404,4772756,23.909976,21.401319,24.094268,1.346475,26.787218,2.145443,0.499714,0.294428,62.924987
NFLX SEWJWLJNHZDX,11/3/2010,24.518547,24.768547,23.794262,23.812833,5319598,24.518547,22.174647,24.17141,0.998381,26.168172,2.198639,0.560571,0.241285,69.909139
NFLX SEWJWLJNHZDX,11/4/2010,24.492833,24.862832,24.147119,24.662832,3740158,24.492833,23.115375,24.22985,0.557238,25.344326,2.161237,0.505999,0.243857,67.47952
NFLX SEWJWLJNHZDX,11/5/2010,23.97569,24.774261,23.799976,24.764261,5587785,23.97569,23.005079,24.183639,0.58928,25.3622,2.105359,0.226143,0.295571,43.346112
NFLX SEWJWLJNHZDX,11/6/2010,24.014262,24.41569,23.837119,24.40569,2998106,24.014262,22.974283,24.152843,0.58928,25.331404,2.13534,0.23,0.23,50
NFLX SEWJWLJNHZDX,11/9/2010,24.161404,24.362833,23.609976,23.857119,4027262,24.161404,23.038771,24.1544,0.557815,25.270029,2.175613,0.244714,0.212857,53.481111
NFLX SEWJWLJNHZDX,11/10/2010,24.351404,24.985689,24.204262,24.249976,5629744,24.351404,23.203283,24.190219,0.493468,25.177155,2.23191,0.110428,0.212857,34.158197
NFLX SEWJWLJNHZDX,11/11/2010,25.28426,25.319975,24.09569,24.28569,5296331,25.28426,23.484317,24.389136,0.452409,25.293954,2.284874,0.191714,0.212857,47.387006
NFLX SEWJWLJNHZDX,11/12/2010,25.018546,25.527117,24.792832,24.988546,4053179,25.018546,23.620705,24.503574,0.441435,25.386443,2.244342,0.191714,0.199857,48.960233
NFLX SEWJWLJNHZDX,11/13/2010,24.714261,25.269975,24.301404,24.941404,3934794,24.714261,23.671311,24.541881,0.435285,25.41245,2.204994,0.191714,0.200428,48.888889
NFLX SEWJWLJNHZDX,11/16/2010,24.042833,24.791404,23.95569,24.56569,4417883,24.042833,23.61003,24.451145,0.420557,25.29226,2.160815,0.191714,0.178428,51.794674
NFLX SEWJWLJNHZDX,11/17/2010,23.627119,24.17569,23.367119,23.824262,3698478,23.627119,23.326672,24.301322,0.487325,25.275972,2.12383,0.130857,0.22,37.296417
NFLX SEWJWLJNHZDX,11/18/2010,23.814262,24.072833,23.431405,23.529976,2535061,23.814262,23.189006,24.212766,0.51188,25.236525,2.149181,0.149571,0.217428,40.755158
NFLX SEWJWLJNHZDX,11/19/2010,24.047119,24.398547,24.004262,24.207119,2438472,24.047119,23.167087,24.182648,0.507781,25.198209,2.173566,0.172857,0.165714,51.054852
NFLX SEWJWLJNHZDX,11/20/2010,24.71569,24.749975,23.972833,24.051405,3145600,24.71569,23.257845,24.279565,0.51086,25.301284,2.205022,0.235857,0.165714,58.733547
NFLX SEWJWLJNHZDX,11/23/2010,26.918545,26.957116,25.857117,25.867117,9638079,26.918545,22.941825,24.759379,0.908777,26.576933,2.301402,0.441428,0.165714,72.705882
NFLX SEWJWLJNHZDX,11/24/2010,26.817116,27.44283,26.581402,26.607116,6587688,26.817116,22.920711,25.133513,1.106401,27.346315,2.235526,0.422428,0.175857,70.606495
NFLX SEWJWLJNHZDX,11/25/2010,26.964259,27.404258,26.688545,27.265687,3836423,26.964259,22.930822,25.466376,1.267777,28.00193,2.27389,0.343857,0.175857,66.162727
NFLX SEWJWLJNHZDX,11/27/2010,27.32283,27.494258,26.829973,26.907116,2961678,27.32283,22.931734,25.803913,1.43609,28.676092,2.303507,0.379714,0.149286,71.779638
NFLX SEWJWLJNHZDX,11/30/2010,28.432829,28.5714,27.499972,27.685687,6786583,28.432829,22.892257,26.281898,1.69482,29.671539,2.371372,0.490714,0.118857,80.501523
NFLX SEWJWLJNHZDX,12/1/2010,29.414256,29.542828,27.941401,28.278543,11499204,29.414256,22.993546,26.851417,1.928936,30.709289,2.486364,0.588857,0.051714,91.926851
NFLX SEWJWLJNHZDX,12/2/2010,28.5914,29.891399,28.267115,29.658542,10031428,28.5914,23.492503,27.167778,1.837637,30.843052,2.38605,0.588857,0.092428,86.433215
NFLX SEWJWLJNHZDX,12/3/2010,27.631401,28.064258,27.334258,27.757115,8129995,27.631401,24.10102,27.252073,1.575526,30.403126,2.30475,0.570142,0.188428,75.160075
NFLX SEWJWLJNHZDX,12/4/2010,26.497116,27.884258,26.371402,27.849972,8723863,26.497116,24.637971,27.114808,1.238418,29.591645,2.217512,0.546857,0.301857,64.433597
